rank,nome,avaliacao
1,Gloomhaven,8.68
2,Brass: Birmingham,8.65
3,Pandemic Legacy: Season 1,8.57
4,Ark Nova,8.58
5,Terraforming Mars,8.39
6,Twilight Imperium: Fourth Edition,8.64
7,Gloomhaven: Jaws of the Lion,8.57
8,Star Wars: Rebellion,8.42
9,War of the Ring: Second Edition,8.52
10,Gaia Project,8.44
11,Spirit Island,8.37
12,Through the Ages: A New Story of Civilization,8.34
13,Great Western Trail,8.26
14,Dune: Imperium,8.35
15,Twilight Struggle,8.26
16,Scythe,8.19
17,The Castles of Burgundy,8.13
18,Nemesis,8.33
19,7 Wonders Duel,8.10
20,Brass: Lancashire,8.19
21,Concordia,8.11
22,A Feast for Odin,8.19
23,Terra Mystica,8.10
24,Wingspan,8.08
25,Clank!: Legacy – Acquisitions Incorporated,8.62
26,Eclipse: Second Dawn for the Galaxy,8.56
27,Arkham Horror: The Card Game,8.15
28,Root,8.09
29,Orléans,8.07
30,Lost Ruins of Arnak,8.09
31,Viticulture Essential Edition,8.03
32,Everdell,8.07
33,Mage Knight Board Game,8.09
34,Barrage,8.21
35,Food Chain Magnate,8.10
36,Marvel Champions: The Card Game,8.18
37,Puerto Rico,7.94
38,Too Many Bones,8.38
39,Caverna: The Cave Farmers,7.98
40,Blood Rage,7.97
41,Pax Pamir: Second Edition,8.29
42,Agricola,7.90
43,Underwater Cities,8.09
44,The Crew: Mission Deep Sea,8.31
45,Anachrony,8.11
46,Maracaibo,8.11
47,Mansions of Madness: Second Edition,7.99
48,Pandemic Legacy: Season 2,8.07
49,On Mars,8.23
50,The Crew: The Quest for Planet Nine,7.89
51,Tzolk'in: The Mayan Calendar,7.88
52,Power Grid,7.83
53,Cascadia,8.00
54,Crokinole,7.98
55,Clans of Caledonia,7.96
56,Lisboa,8.20
57,Pandemic Legacy: Season 0,8.50
58,Le Havre,7.86
59,Star Wars: Imperial Assault,7.98
60,Kingdom Death: Monster,8.55
61,The Quacks of Quedlinburg,7.84
62,Mechs vs. Minions,8.00
63,The Gallerist,8.04
64,Great Western Trail (Second Edition),8.50
65,Paladins of the West Kingdom,8.01
66,Android: Netrunner,7.87
67,Azul,7.77
68,Eclipse,7.86
69,Aeon's End,7.96
70,Race for the Galaxy,7.75
71,Through the Ages: A Story of Civilization,7.88
72,Clank!: A Deck-Building Adventure,7.81
73,Kanban EV,8.51
74,The 7th Continent,7.95
75,Grand Austria Hotel,7.90
76,Five Tribes,7.78
77,Fields of Arle,8.06
78,Agricola (Revised Edition),7.98
79,Sleeping Gods,8.40
80,Teotihuacan: City of Gods,7.90
81,Robinson Crusoe: Adventures on the Cursed Island,7.79
82,The Voyages of Marco Polo,7.81
83,7 Wonders,7.71
84,Lords of Waterdeep,7.74
85,Dominant Species,7.82
86,Tainted Grail: The Fall of Avalon,8.17
87,Architects of the West Kingdom,7.78
88,El Grande,7.74
89,Keyflower,7.76
90,Beyond the Sun,7.98
91,Caylus,7.74
92,Battlestar Galactica: The Board Game,7.73
93,Cthulhu: Death May Die,8.15
94,Mombasa,7.87
95,Dominion: Intrigue,7.70
96,Troyes,7.73
97,Raiders of the North Sea,7.76
98,Eldritch Horror,7.77
99,Lorenzo il Magnifico,7.87
100,Twilight Imperium: Third Edition,7.81
101,The Lord of the Rings: Journeys in Middle-Earth,7.96
102,Tigris & Euphrates,7.70
103,Decrypto,7.78
104,Inis,7.82
105,Russian Railroads,7.75
106,Patchwork,7.62
107,Rising Sun,7.80
108,The Isle of Cats,7.81
109,Trajan,7.75
110,Obsession,8.26
111,Trickerion: Legends of Illusion,7.96
112,The Search for Planet X,8.06
113,Dominion,7.60
114,Clank! In! Space!: A Deck-Building Adventure,7.82
115,Aeon's End: War Eternal,8.32
116,Codenames,7.57
117,Roll for the Galaxy,7.62
118,Pandemic: Iberia,7.90
119,Vinhos: Deluxe Edition,8.14
120,Yokohama,7.83
121,Champions of Midgard,7.74
